date,source,doc_id,title,category,impact_score,impact_direction,summary,url
2026-08-16,Dantri BDS,an-rat-de-mac-phai-20260816092838237.htm,8 sai lầm tai hại mà người mới đầu tư bất động sản rất dễ mắc phải,news,-0.2,negative,(Dân trí) - Mua nhà đất không chỉ cần vốn mà còn đòi hỏi tính toán kỹ lưỡng. Đừng để lời quảng cáo hay kỳ vọng tăng giá vô lý đẩy bạn vào rủi ro. Hãy cẩn trọng với 8 sai lầm chí mạng sau trước khi xuống tiền.,https://dantri.com.vn/bat-dong-san/8-sai-lam-tai-hai-ma-nguoi-moi-dau-tu-bat-dong-san-rat-de-mac-phai-20260816092838237.htm
2026-08-16,Dantri BDS,vinfast-trong-dong-20260816110158869.htm,Vingroup hé lộ thời điểm xây xong sân vận động VinFast - Trống Đồng,news,0.2,positive,"(Dân trí) - Vingroup công bố quy hoạch Khu liên hợp Thể thao Quốc tế Hùng Vương, danh sách dự án nhà ở xã hội tại Hà Nội… là những thông tin bất động sản đáng chú ý tuần qua.",https://dantri.com.vn/bat-dong-san/vingroup-he-lo-thoi-diem-xay-xong-san-van-dong-vinfast-trong-dong-20260816110158869.htm
2026-08-17,Dantri BDS,khai-hoan-imperial-20260814100307310.htm,Nghệ thuật thiết kế hệ tiện ích tại Khải Hoàn Imperial,news,0.0,neutral,"(Dân trí) - Trong cuộc đua bất động sản cao cấp, khái niệm “xa xỉ” hay “hạng sang” đang dần thoát khỏi những khối bê tông vô hồn để trở về với giá trị cốt lõi, đó là trải nghiệm sống sống động và chạm đến cảm xúc của con người.",https://dantri.com.vn/bat-dong-san/nghe-thuat-thiet-ke-he-tien-ich-tai-khai-hoan-imperial-20260814100307310.htm
2026-08-17,Dantri BDS,uu-nhung-du-an-yeu-20260816222022252.htm,Giải bài toán vốn bất động sản: Có nên tiếp tục “cứu” những dự án yếu?,news,0.0,neutral,"(Dân trí) - Kinh nghiệm quốc tế cho thấy không nên “cứu” bất động sản bằng mọi giá. Dòng tín dụng cần ưu tiên các dự án còn khả năng hoàn thành, bảo đảm bàn giao nhà.",https://dantri.com.vn/bat-dong-san/giai-bai-toan-von-bat-dong-san-co-nen-tiep-tuc-cuu-nhung-du-an-yeu-20260816222022252.htm
2026-08-18,VnExpress BDS,thi-nha-o-xa-hoi-gan-192-ha-5110275.html,TP HCM duyệt quy hoạch khu đô thị nhà ở xã hội gần 192 ha,news,0.2,positive,"Đồ án quy hoạch phân khu tỷ lệ 1/2.000 Khu nhà ở xã hội Bà Điểm được duyệt với diện tích thực hiện gần 192 ha, quy mô dân số dự kiến 67.465 người.",https://vnexpress.net/tp-hcm-duyet-quy-hoach-khu-do-thi-nha-o-xa-hoi-gan-192-ha-5110275.html
2026-08-18,Dantri BDS,co-gia-1-ty-dongm2-20260818203838302.htm,Bất động sản trung tâm TPHCM xuất hiện dự án căn hộ có giá 1 tỷ đồng/m2,news,0.0,neutral,"(Dân trí) - Giá nhà trung tâm TPHCM ngày càng cao, trong đó có dự án sang trọng gần chợ Bến Thành giá khoảng 1 tỷ đồng/m2.",https://dantri.com.vn/bat-dong-san/bat-dong-san-trung-tam-tphcm-xuat-hien-du-an-can-ho-co-gia-1-ty-dongm2-20260818203838302.htm
2026-08-18,Dantri BDS,ty-dong-trai-phieu-20260818080750662.htm,"Ngân hàng, địa ốc hút 220.000 tỷ đồng trái phiếu",news,0.0,neutral,(Dân trí) - Các ngân hàng và công ty bất động sản tiếp tục “chiếm sóng” về giá trị huy động trái phiếu nửa đầu năm.,https://dantri.com.vn/kinh-doanh/ngan-hang-dia-oc-hut-220000-ty-dong-trai-phieu-20260818080750662.htm
2026-08-18,Dantri BDS,i-hon-2500-ty-dong-20260818092359415.htm,Hưng Yên sắp có khu nhà ở xã hội hơn 2.500 tỷ đồng,news,0.2,positive,"(Dân trí) - Một dự án nhà ở xã hội quy mô hơn 2.500 tỷ đồng sắp được triển khai tại Hưng Yên, bổ sung gần 1.300 căn hộ cho địa phương.",https://dantri.com.vn/bat-dong-san/hung-yen-sap-co-khu-nha-o-xa-hoi-hon-2500-ty-dong-20260818092359415.htm
2026-08-18,Dantri BDS,o-tang-gia-sap-qua-20260817153251896.htm,"Siết phân lô, bán nền ở đô thị: Thời ""găm đất"" chờ tăng giá sắp qua?",news,-0.2,negative,"(Dân trí) - Ba yếu tố đáng chú ý trên thị trường bất động sản thời gian tới là hạn chế phân lô, bán nền tại các đô thị lớn; tăng chi phí đối với việc nắm giữ đất không đưa vào sử dụng; và tăng tính minh bạch của giá đất.",https://dantri.com.vn/bat-dong-san/siet-phan-lo-ban-nen-o-do-thi-thoi-gam-dat-cho-tang-gia-sap-qua-20260817153251896.htm
2026-08-18,Dantri BDS,dong-san-hang-hieu-20260818080959116.htm,D’. Diamant Bleu: Đón nhịp chuyển dịch của thị trường bất động sản hàng hiệu,news,0.0,neutral,"(Dân trí) - Khi hệ giá trị của bất động sản hàng hiệu không ngừng được mở rộng, các chủ đầu tư cũng đứng trước yêu cầu đổi mới tư duy phát triển sản phẩm để phù hợp với lối sống của tầng lớp cư dân hiện đại trong kỷ nguyên mới.",https://dantri.com.vn/bat-dong-san/d-diamant-bleu-don-nhip-chuyen-dich-cua-thi-truong-bat-dong-san-hang-hieu-20260818080959116.htm
2026-08-18,VnExpress BDS,noi-tu-24-trieu-dong-moi-m2-5110453.html,Nhà xã hội ở phía Bắc Hà Nội từ 24 triệu đồng mỗi m2,news,0.2,positive,Hơn 700 căn nhà ở xã hội tại xã Mê Linh dự kiến mở bán từ đầu năm sau với giá 24 triệu đồng mỗi m2.,https://vnexpress.net/nha-xa-hoi-o-phia-bac-ha-noi-tu-24-trieu-dong-moi-m2-5110453.html
2026-08-19,VnExpress KD,ng-san-ngu-im-hang-chuc-nam-5110898.html,Đại biểu Quốc hội: Cần đánh thuế bất động sản 'ngủ im' hàng chục năm,news,0.0,neutral,"Đại biểu Hoàng Văn Nghĩa cho rằng cần cơ chế đánh thuế bất động sản, nhà ở không sử dụng, ""ngủ im"" hàng chục năm qua.",https://vnexpress.net/dai-bieu-quoc-hoi-can-danh-thue-bat-dong-san-ngu-im-hang-chuc-nam-5110898.html
2026-08-19,Dantri BDS,y-dong-o-duc-trong-20260819224934323.htm,Lâm Đồng thông qua chủ trương đầu tư nhà ở xã hội gần 6.000 tỷ đồng ở Đức Trọng,news,0.2,positive,"(Dân trí) - Lâm Đồng đã thông qua chủ trương đầu tư dự án nhà ở xã hội quy mô 6.656 căn hộ, tổng vốn gần 6.000 tỷ đồng tại xã Đức Trọng.",https://dantri.com.vn/bat-dong-san/lam-dong-thong-qua-chu-truong-dau-tu-nha-o-xa-hoi-gan-6000-ty-dong-o-duc-trong-20260819224934323.htm
2026-08-19,VnExpress BDS,gia-de-giam-chi-phi-nha-dat-5110957.html,"Thủ tướng: Nhà nước định giá để giảm chi phí nhà, đất",news,-0.2,negative,"Theo Thủ tướng Lê Minh Hưng, Nhà nước sẽ định giá đất dựa trên cơ sở dữ liệu, đơn giản hóa thủ tục nhằm giảm chi phí đầu vào, giúp kiểm soát giá nhà, đất.",https://vnexpress.net/thu-tuong-nha-nuoc-dinh-gia-de-giam-chi-phi-nha-dat-5110957.html
2026-08-19,VnExpress KD,che-tren-tui-nilon-hop-nhua-5110716.html,"Mỹ tính siết nhãn 'tái chế' trên túi nilon, hộp nhựa",news,-0.2,negative,"Dự luật mới của Mỹ về nhãn mác siết việc lạm dụng hình vẽ ""mũi tên đuổi bắt"" - biểu tượng của khả năng tái chế - trong bao bì nhựa, tránh tình trạng tẩy xanh.",https://vnexpress.net/my-tinh-siet-nhan-tai-che-tren-tui-nilon-hop-nhua-5110716.html
2026-08-19,VnExpress BDS,-dia-oc-chat-vat-kiem-khach-5110473.html,Môi giới địa ốc chật vật kiếm khách,news,0.0,neutral,"Thu nhập giảm mạnh do hơn 4 tháng không có giao dịch, anh Thịnh vừa làm môi giới vừa chạy xe công nghệ để duy trì cuộc sống.",https://vnexpress.net/moi-gioi-dia-oc-chat-vat-kiem-khach-5110473.html
2026-08-19,VnExpress BDS,ng-nha-o-tai-khu-nam-tp-hcm-5110495.html,TT Genesis thêm nguồn cung nhà ở tại khu Nam TP HCM,news,0.0,neutral,"TT Genesis do liên doanh Nhật phát triển, dự kiến bổ sung hơn 1.400 sản phẩm nhà ở tại khu Nam TP HCM.",https://vnexpress.net/tt-genesis-them-nguon-cung-nha-o-tai-khu-nam-tp-hcm-5110495.html
2026-08-19,Dantri BDS,ai-dinh-cu-tai-cho-20260819181622182.htm,Đề xuất người bị thu hồi đất được ưu tiên tái định cư tại chỗ,news,0.2,positive,"(Dân trí) - Định hướng sửa Luật Đất đai năm 2024 đặt mục tiêu bảo đảm tốt hơn đời sống người dân sau thu hồi đất, từ bồi thường tài sản sang ""tái thiết cuộc sống"", hoàn thiện các cơ chế hỗ trợ, tái định cư.",https://dantri.com.vn/bat-dong-san/de-xuat-nguoi-bi-thu-hoi-dat-duoc-uu-tien-tai-dinh-cu-tai-cho-20260819181622182.htm
2026-08-19,Dantri BDS,fdi-chat-luong-cao-20260819085908952.htm,Bất động sản công nghiệp thích ứng xu hướng thu hút FDI chất lượng cao,news,0.0,neutral,"(Dân trí) - Trong bối cảnh Việt Nam định hướng thu hút dòng vốn FDI chất lượng cao, các tiêu chí lựa chọn địa điểm sản xuất đang mở rộng từ chi phí và quỹ đất sang khả năng kết nối, tốc độ triển khai, hiệu quả vận hành và tiêu chuẩn ESG.",https://dantri.com.vn/bat-dong-san/bat-dong-san-cong-nghiep-thich-ung-xu-huong-thu-hut-fdi-chat-luong-cao-20260819085908952.htm
2026-08-19,Dantri BDS,ay-gia-nha-len-cao-20260819203655953.htm,"Lãnh đạo Chính phủ chỉ rõ ""thủ phạm"" đẩy giá nhà lên cao",news,0.0,neutral,(Dân trí) - Thị trường bất động sản 2026 đang chứng kiến nghịch lý: thanh khoản sụt giảm nhưng giá bán sơ cấp liên tục lập đỉnh mới. Lãnh đạo Chính phủ và các chuyên gia đã chỉ rõ căn nguyên của vấn đề này.,https://dantri.com.vn/bat-dong-san/lanh-dao-chinh-phu-chi-ro-thu-pham-day-gia-nha-len-cao-20260819203655953.htm
2026-08-19,VnExpress BDS,ia-dat-khi-sua-luat-dat-dai-5110653.html,Đề xuất Nhà nước quyết định giá đất khi sửa Luật Đất đai,news,-0.2,negative,"Chính phủ đề xuất Nhà nước quyết định giá đất dựa trên dữ liệu, không để bị thao túng, hình thành giá ảo khi sửa Luật Đất đai.",https://vnexpress.net/de-xuat-nha-nuoc-quyet-dinh-gia-dat-khi-sua-luat-dat-dai-5110653.html
2026-08-20,VnExpress BDS,-gia-23-5-trieu-dong-mot-m2-5111072.html,"Nhà ở xã hội gần đại lộ Thăng Long giá 23,5 triệu đồng một m2",news,0.2,positive,"Dự án nhà ở xã hội Đồng Trúc - Thạch Thất có 231 căn hộ, giá bán từ 870 triệu đồng một căn.",https://vnexpress.net/nha-o-xa-hoi-gan-dai-lo-thang-long-gia-23-5-trieu-dong-mot-m2-5111072.html
2026-08-20,VnExpress BDS,on-bat-dong-san-dan-mo-rong-5111280.html,Chuyên gia: Tiêu chí chọn bất động sản dần mở rộng,news,0.0,neutral,"Người mua bất động sản đang quan tâm nhiều hơn đến khả năng kết nối, tiến độ hạ tầng và chất lượng sống, thay vì chỉ nhìn vào kỳ vọng tăng giá, theo PGS.TS Trần Minh Tùng.",https://vnexpress.net/chuyen-gia-tieu-chi-chon-bat-dong-san-dan-mo-rong-5111280.html
2026-08-20,Dantri BDS,oan-phat-trien-moi-20260820141543010.htm,Văn Phú: Xây nền tảng cho giai đoạn phát triển mới,news,0.0,neutral,"(Dân trí) - Lựa chọn phát triển từng bước với mong muốn mỗi dự án khi đưa ra thị trường đều được đầu tư chỉn chu, kỹ lưỡng và bằng tất cả tâm huyết góp phần giúp Công ty Cổ phần Phát triển Bất động sản Văn Phú tạo dựng niềm tin với khách hàng và nhà đầu tư.",https://dantri.com.vn/bat-dong-san/van-phu-xay-nen-tang-cho-giai-doan-phat-trien-moi-20260820141543010.htm
2026-08-20,Dantri BDS,hoan-thanh-toi-dau-20260820200937659.htm,Đề án 1 triệu căn nhà ở xã hội đã hoàn thành tới đâu?,news,0.2,positive,"(Dân trí) - Số lượng dự án nhà ở xã hội đã hoàn thành, khởi công, chấp thuận chủ trương đầu tư đến nay đạt 77% so với chỉ tiêu đã đặt ra.",https://dantri.com.vn/bat-dong-san/de-an-1-trieu-can-nha-o-xa-hoi-da-hoan-thanh-toi-dau-20260820200937659.htm
2026-08-20,Dantri BDS,h-cau-bat-dong-san-20260820140040358.htm,"Trung Quốc: Thượng Hải giảm tiền trả trước, kích cầu bất động sản",news,0.0,neutral,"(Dân trí) - Để cứu vãn thanh khoản thị trường địa ốc đang giảm tốc, chính quyền Thượng Hải quyết định hạ mức trả trước mua nhà và tung gói trợ cấp tiền mặt trực tiếp cho người dân.",https://dantri.com.vn/bat-dong-san/trung-quoc-thuong-hai-giam-tien-tra-truoc-kich-cau-bat-dong-san-20260820140040358.htm
2026-08-20,VnExpress KD,coin-tro-lai-moc-70-000-usd-5111124.html,Bitcoin trở lại mốc 70.000 USD,news,0.2,positive,"Giá Bitcoin tăng gần 9% trong 24 giờ khi Mỹ có thêm tín hiệu thúc đẩy khung pháp lý cho tài sản số, dù lãi suất vẫn gây áp lực.",https://vnexpress.net/bitcoin-tro-lai-moc-70-000-usd-5111124.html
2026-08-20,Dantri BDS,am-tru-mua-e-khach-20260820133305686.htm,TPHCM: Môi giới bất động sản chật vật bám trụ mùa ế khách,news,0.0,neutral,"(Dân trí) - Thanh khoản lao dốc khiến đội ngũ môi giới bất động sản tại TPHCM rơi vào cảnh khó khăn. Nhiều người phải cắt giảm chi phí, làm thêm nghề phụ để cầm cự qua giai đoạn trầm lắng.",https://dantri.com.vn/bat-dong-san/tphcm-moi-gioi-bat-dong-san-chat-vat-bam-tru-mua-e-khach-20260820133305686.htm
2026-08-20,Dantri BDS,-luc-luong-cong-an-20260820121309913.htm,Hà Nội giao hơn 10.000m2 đất KĐT Linh Đàm xây nhà ở cho lực lượng công an,news,0.2,positive,"(Dân trí) - Hơn 10.000m2 đất tại khu đô thị mới Nam hồ Linh Đàm được Hà Nội giao thực hiện dự án nhà ở cho lực lượng Công an nhân dân, trong đó gần 6.703m2 dành xây nhà ở xã hội.",https://dantri.com.vn/bat-dong-san/ha-noi-giao-hon-10000m2-dat-kdt-linh-dam-xay-nha-o-cho-luc-luong-cong-an-20260820121309913.htm
2026-08-20,Dantri BDS,i-toan-mua-hay-cho-20260819082511121.htm,"Lãi suất cao, người mua nhà đứng trước bài toán “mua hay chờ”?",news,0.0,neutral,"(Dân trí) - Lãi suất vay mua nhà đang chịu mức 12-14%/năm, một số khoản thả nổi lên 15-16%/năm khiến người mua đắn đo xuống tiền ngay hay tiếp tục chờ đợi để giảm áp lực tài chính.",https://dantri.com.vn/bat-dong-san/lai-suat-cao-nguoi-mua-nha-dung-truoc-bai-toan-mua-hay-cho-20260819082511121.htm
2026-08-20,VnExpress BDS,ng-san-phia-nam-dang-di-dau-5110789.html,Dòng tiền bất động sản phía Nam đang đi đâu?,news,0.0,neutral,"Dòng tiền bất động sản phía Nam đang có xu hướng rời khu vực lõi, dịch chuyển theo hạ tầng đến các đô thị mới, nhưng không phải nơi nào có cao tốc, sân bay cũng hút được nhà đầu tư.",https://vnexpress.net/dong-tien-bat-dong-san-phia-nam-dang-di-dau-5110789.html
2026-08-20,Dantri BDS,h-an-tu-chung-than-20260820142237103.htm,Dấu chấm hết của Evergrande: Hứa Gia Ấn lĩnh án tù chung thân,news,0.0,neutral,"(Dân trí) - Nhà sáng lập Evergrande Hứa Gia Ấn vừa bị tuyên án tù chung thân và tịch thu toàn bộ tài sản, khép lại vụ bê bối gian lận tài chính 78 tỷ USD chấn động thị trường địa ốc.",https://dantri.com.vn/kinh-doanh/dau-cham-het-cua-evergrande-hua-gia-an-linh-an-tu-chung-than-20260820142237103.htm
2026-08-21,VnExpress KD,en-nhan-roi-trong-tai-khoan-5111837.html,SHB SAHA giúp tối ưu tiền nhàn rỗi trong tài khoản,news,0.0,neutral,"Tính năng ""Sinh lời nhàn tênh"" trên ứng dụng SHB SAHA giúp dòng tiền nhàn rỗi trong tài khoản của khách hàng tự động sinh lời với lãi suất tối đa 6% một năm.",https://vnexpress.net/shb-saha-giup-toi-uu-tien-nhan-roi-trong-tai-khoan-5111837.html
2026-08-21,VnExpress KD,at-tiet-kiem-tren-9-mot-nam-5111481.html,Nhiều ngân hàng trả lãi suất tiết kiệm trên 9% một năm,news,0.0,neutral,"Chỉ từ khoản tiền vài chục đến vài trăm triệu đồng, người gửi tiền được nhân viên ngân hàng chào lãi suất 9-9,5% một năm, cao hơn biểu niêm yết 3 điểm phần trăm.",https://vnexpress.net/nhieu-ngan-hang-tra-lai-suat-tiet-kiem-tren-9-mot-nam-5111481.html
2026-08-21,Dantri BDS,rieu-dong-o-ha-noi-20260821094639016.htm,Xuất hiện căn hộ giá từ 870 triệu đồng ở Hà Nội,news,0.2,positive,"(Dân trí) - Dự án nhà ở xã hội Đồng Trúc - Thạch Thất, cách Khu công nghệ cao Hòa Lạc khoảng 5km, dự kiến nhận hồ sơ trong quý III. Giá căn hộ từ khoảng 870 triệu đồng.",https://dantri.com.vn/bat-dong-san/xuat-hien-can-ho-gia-tu-870-trieu-dong-o-ha-noi-20260821094639016.htm
2026-08-21,Dantri BDS,g-binh-123-trieum2-20260821111147868.htm,"Bộ Xây dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2",news,0.0,neutral,"(Dân trí) - Giá chung cư thứ cấp đã giảm trong quý II, nhưng bình quân tại Hà Nội vẫn khoảng 123 triệu đồng/m2. Cùng lúc, thanh khoản bất động sản tiếp tục đi xuống, tồn kho tăng.",https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm
2026-08-21,Dantri BDS,i-thong-nguon-cung-20260821120859228.htm,Đề án 1 triệu căn nhà ở xã hội đạt 77%: Cách nào khơi thông nguồn cung?,news,0.2,positive,"(Dân trí) - Đề án 1 triệu căn nhà ở xã hội đã đạt 77% mục tiêu đề ra, và để tăng tốc chặng cuối, cần mở rộng nguồn lực từ quỹ đất, nhà ở cho thuê cho đến tín dụng.",https://dantri.com.vn/bat-dong-san/de-an-1-trieu-can-nha-o-xa-hoi-dat-77-cach-nao-khoi-thong-nguon-cung-20260821120859228.htm
2026-08-21,VnExpress BDS,ren-thi-truong-bat-dong-san-5111149.html,Loạt chính sách dự kiến sửa đổi có thể thay đổi 'cuộc chơi' trên thị trường bất động sản,news,0.0,neutral,"Quy định mới về giá đất, chung cư có thời hạn, bồi thường tái định cư nằm trong nhóm vấn đề nóng đang được Quốc hội thảo luận khi sửa ba luật liên quan bất động sản.",https://vnexpress.net/loat-chinh-sach-du-kien-sua-doi-co-the-thay-doi-cuoc-choi-tren-thi-truong-bat-dong-san-5111149.html
2026-08-21,Dantri BDS,-binh-17-trieu-usd-20260821091632761.htm,"Nhật Bản: Căn hộ mới tại trung tâm Tokyo có giá trung bình 1,7 triệu USD",news,0.0,neutral,"(Dân trí) - Thị trường nhà ở Tokyo tiếp tục nóng khi giá trung bình căn hộ chung cư mới tại 23 quận nội thành tăng 96% trong tháng Bảy, lên mức kỷ lục 265,2 triệu yen, tương đương khoảng 1,7 triệu USD.",https://dantri.com.vn/bat-dong-san/nhat-ban-can-ho-moi-tai-trung-tam-tokyo-co-gia-trung-binh-17-trieu-usd-20260821091632761.htm
2026-08-21,Dantri BDS,phat-85-trieu-dong-20260821183824189.htm,"Chậm tiến độ, dự án nhà ở xã hội chung cư Phú Tài Lộc bị phạt 85 triệu đồng",news,0.2,positive,"(Dân trí) - Sau lễ khởi công hơn 7 tháng, dự án nhà ở xã hội chung cư Phú Tài Lộc ở Gia Lai gần như “án binh bất động”, chủ đầu tư bị phạt 85 triệu đồng do chậm tiến độ.",https://dantri.com.vn/bat-dong-san/cham-tien-do-du-an-nha-o-xa-hoi-chung-cu-phu-tai-loc-bi-phat-85-trieu-dong-20260821183824189.htm
2026-08-21,VnExpress BDS,ong-san-theo-co-che-dac-thu-5111804.html,Đà Nẵng gỡ vướng cho ba dự án bất động sản theo cơ chế đặc thù,news,0.2,positive,"Hai khu đô thị gần 39 ha cùng một dự án nhà ở xã hội tại phường Điện Bàn Đông vừa được UBND TP Đà Nẵng cho phép tiếp tục giao đất, cho thuê đất.",https://vnexpress.net/da-nang-go-vuong-cho-ba-du-an-bat-dong-san-theo-co-che-dac-thu-5111804.html
2026-08-21,VnExpress BDS,lam-du-an-nha-o-cho-cong-an-5111601.html,Hà Nội giao 1 ha đất Linh Đàm làm dự án nhà ở cho công an,news,0.0,neutral,Hơn 1 ha đất thuộc khu đô thị mới Nam hồ Linh Đàm được giao cho công ty IFT để triển khai dự án nhà ở cho công an.,https://vnexpress.net/ha-noi-giao-1-ha-dat-linh-dam-lam-du-an-nha-o-cho-cong-an-5111601.html
2026-08-22,Dantri BDS,nhat-ban-thuy-dien-20260822112959341.htm,"Một loại nhà ở bị người Mỹ ""quay lưng"", dù thành công ở Nhật Bản, Thụy Điển",news,0.0,neutral,"(Dân trí) - Từ lâu, những ngôi nhà được sản xuất trong nhà máy chỉ đứng bên lề thị trường nhà ở Mỹ. Một đạo luật mang tính bước ngoặt giúp giảm chi phí xây dựng được kỳ vọng sẽ phát triển loại hình nhà ở này.",https://dantri.com.vn/bat-dong-san/mot-loai-nha-o-bi-nguoi-my-quay-lung-du-thanh-cong-o-nhat-ban-thuy-dien-20260822112959341.htm
2026-08-22,Dantri BDS,ay-tiep-tuc-o-thue-20260820100709143.htm,"Lãi suất cao, cầm 7 tỷ đồng nên mua nhà hay tiếp tục ở thuê?",news,0.0,neutral,"(Dân trí) - Dù 97% người thuê đều khao khát sở hữu nhà, nhưng bài toán vay vốn khi lãi suất cao đang khiến nhiều gia đình chùn bước. Lựa chọn tiếp tục đi thuê để bảo toàn vốn đang trở thành một xu hướng mới.",https://dantri.com.vn/bat-dong-san/lai-suat-cao-cam-7-ty-dong-nen-mua-nha-hay-tiep-tuc-o-thue-20260820100709143.htm
2026-08-22,Dantri BDS,t-25-trieu-ty-dong-20260822144250909.htm,"Dư nợ kinh doanh bất động sản vượt 2,5 triệu tỷ đồng",news,0.0,neutral,"(Dân trí) - Dư nợ tín dụng kinh doanh bất động sản tăng hơn 284.000 tỷ đồng trong quý II, lên hơn 2,5 triệu tỷ đồng. Trong đó, dư nợ phục vụ mua quyền sử dụng đất tăng hơn 23%.",https://dantri.com.vn/bat-dong-san/du-no-kinh-doanh-bat-dong-san-vuot-25-trieu-ty-dong-20260822144250909.htm
2026-08-22,VnExpress KD,ung-thi-truong-bat-dong-san-5111966.html,'Cần định danh rõ hành vi thao túng thị trường bất động sản',news,-0.3,negative,"Đại biểu Quốc hội đề xuất luật hóa hành vi thao túng thị trường bất động sản và lập hệ thống cảnh báo sớm để ngăn tình trạng thổi giá, tạo sóng trục lợi.",https://vnexpress.net/can-dinh-danh-ro-hanh-vi-thao-tung-thi-truong-bat-dong-san-5111966.html
